Numer uchwały,Beneficjent,Koszt,Nazwa projektu,Data uchwały
22,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,16591.1,"""Promocja Studenckiego Tygodnia Sztuki""",10 lutego 2022
23,Stowarzyszeniu All in UJ,4300.0,"""Science First poznaj praktyczny wymiar nauki transmisja 5. odcinka 4. sezon""",11 lutego 2022
24,Wiceprzewodniczącemu Samorządu Studentów Uniwersytetu Jagiellońskiego ds. Collegium Medicum,12831.0,"""Ze staw nagłośnieniowy Samorządu Studentów UJ""",15 lutego 2022
25,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,209.1,"""Studenckie Konwersacje Językowe certyfikaty""",15 lutego 2022
26,Stowarzyszeniu Erasmus Student Network UJ Kraków,3182.0,"""Orientation Week with ESN UJ Kraków""",15 lutego 2022
27,WRSS WPiA,27528.6,""" Wyjazd Integracyjno Szkoleniowy WPiA UJ""",21 lutego 2022
28,WRSS WMiI,3310.0,"""Kon kursy z okazji Studenckiego Festiwalu Informatycznego""",21 lutego 2022
29,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,14988.0,"""Spektakl Dwaj mistrzowie komedii""",21 lutego 2022
30,WRSS WB,5153.1,"""Promocja Studenckiego Tygodnia dla Ziemii""",21 lutego 2022
31,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,12983.3,"""Koncert Piosenek wybranych Człowiek przez Przypadki""",21 lutego 2022
34,WRSS Filologia,590.0,"""Rozbudź się na wiosnę""",28 lutego 2022
35,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,14930.56,"""Zwiedź je wszystkie Muzea STS""",28 lutego 2022
36,Bractwu Czapki Studenckiej UJ,3584.26,"""Wyjazd na Kudłacze 2022""",28 lutego 2022
37,"Radzie Mieszkańców DS ""Nawojka""",8867.94,"""Ślub Nawojki z Żaczkiem""",28 lutego 2022
39,AKT Rozdroże,2250.0,"""Rajd na Powitanie Wiosny 2022 Beskid Żywiecki""",7 marca 2022
40,Niezależnemu Zrzeszeniu Studentów Uniwersytetu Jagiellońskiego,2896.0,"""Zjazd Komisji Krajowej Niezależ nego Zrzeszenia Studentów """,7 marca 2022
41,WRSS WB,49915.48,"""Studencki Tydzień dla Ziemi""",14 marca 2022
42,WRSS WPiA,8704.0,"""Mecz charyta tywny AGH s UJ""",14 marca 2022
43,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,7840.0,"""Wyjazd warsztatowo integracyjny Uczelnianego Zespołu ds. Mobilności""",14 marca 2022
44,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,59668.8,"""Studencki Tydzień Sztuki 2022""",14 marca 2022
45,WRSS WZiKS,1450.0,"""Wskocz z nami w nowy semestr """,14 marca 2022
46,Stowarzyszeniu All In UJ,18000.0,"""Jubileuszowy All In UJ Spring Camp""",14 marca 2022
49,WRSS WBBiB,1736.0,"""Podkręć kulkę z WBBiB """,21 marca 2022
