Numer uchwały,Beneficjent,Koszt,Nazwa projektu,Data uchwały
88,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,11350.0,"""B4 Juwenaliowy""",25 kwietnia 2023
90,WRSS WP,1050.0,"""Teatr mój widzę... Moralność Pani Dulskiej""",25 kwietnia 2023
91,WRSS WSMiP,2500.0,"""Cinco de Mayo impreza WSMiP i Wydziału Filologicz nego""",25 kwietnia 2023
92,AKT Rozdroże,2700.0,"""Majówka 2023 Rajd Dolinami Tatr Zachodnich""",25 kwietnia 2023
93,WRSS WZiKS,441.0,"""Bezmiar"" niebanalna historia o ucieczce""",25 kwietnia 2023
94,WRSS WPiA,3500.0,"""""Majówka WPiA"" Impreza Integracyjna WPiA UJ w ramach zakończenia Wy działowej Ligi Piłkarskiej""",25 kwietnia 2023
95,Zespołowi Informacji i Promocji Samorządu Studentów UJ,1230.0,"""Warsztaty ""social media dźwignią promocji""""",25 kwietnia 2023
96,Przewodniczącej Radzie Domów Studenckich,4456.6,"""Olimpiada MiędzyAkade mikowa II Etap""",4 maja 2023
97,Zespołowi Informacji i Promocji Samorządu Studentów UJ,23512.0,"""Wyposażenie teamu Foto Zespołu Informacji i Promocji SSUJ""",6 maja 2023
98,WRSS WP,2208.4,"""s.pokoje""",8 maja 2023
99,WRSS WH,1589.99,"""Zakup wyposażenia na potrzeby warsztatów fotograficznych i studenc kich sesji zdjęciowych""",8 maja 2023
100,Bractwu Czapki Studenckiej UJ,3674.66,"""Juwenalia 2023""",8 maja 2023
101,Stowarzyszeniu UJOT T,16924.8,"""Juwenaliowe studio UJOT T """,8 maja 2023
102,WRSS WP,520.0,"""WybUJaj stres """,8 maja 2023
103,WRSS WCh,4011.0,"""Zakup gadżetów na potrzeby akcji realizowanej w ramach ""Dzień chemika""",8 maja 2023
104,WRSS WCh,3750.0,"""Zakup gadżetów na potrzeby akcji ""Cała chemia wypełnia ankiety 12.0""",8 maja 2023
105,Stowarzyszeniu Erasmus Student Network UJ Kraków,902.0,"""Uczestnictwo w Zjeździe National Assembly ESN Czech Republic""",8 maja 2023
106,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,16515.0,"""Juwenaliowa Gra Miejska 2023""",9 maja 2023
107,Zespołowi Informacji i Promocji Samorządu Studentów UJ,25461.0,"""Koszulki juwenaliowe 2023""",10 maja 2023
108,Wiceprzewodniczący(a) SSUJ,80011.01,"""Ochrona wydarzenia Juwenalia Krakoskie 2023""",11 maja 2023
109,Wiceprzewodniczący(a) SSUJ,159346.5,"""Obsługa techniczna wydarzenia Juwenalia Krakoskie 2023""",11 maja 2023
110,Radzie Mieszkańców DS Bursa Jagiellońska,2958.59,"""Bursonalia 2023""",15 maja 2023
111,Stowarzyszeniu Erasmus Student Network UJ Kraków,120.0,"""Wycieczka do Muzeum Fotografii z ESN UJ Kraków""",15 maja 2023
112,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,300.0,"""WALK WATCH Cracow Old Town Tour at Sunset""",15 maja 2023
113,Towarzystwu Biblioteki Słuchaczów Prawa Uniwersytetu Jagiellońskiego,4500.0,"""Konferencja Jubileu szowa z okazji 170 lecia istnienia Towarzystwa Biblioteki Słuchaczów Prawa Uniwersytetu Jagiellońskiego ""Kompetencje prawnika przyszłości a nauczanie prawa na współcze snym uniwersytecie""",15 maja 2023
114,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,2723.0,"""Strzał w 10""",15 maja 2023
115,"Radzie Mieszkańców DS ""Bydgoska"" oraz Radzie Mieszkańców DS ""Piast""",9000.0,"""Bydgoska"" oraz Radzie Mieszkańców DS ""Piast"" dotację ze środków przeznaczonych przez uczelnię na sprawy studenckie w wysokości 9 000,00 zł (słownie dziewięć tysięcy złotych 00 100) na realizację projektu ""Bydgo Piastonalia 2023""",15 maja 2023
116,"Radzie Mieszkańców DS ""Nawojka""",5000.0,"""Nawojka"" dotację ze środków przeznaczonych przez uczelnię na sprawy studenckie w wysokości 5 000,00 zł (słownie pięć tysięcy złotych 00 100) na realizację projektu ""Dni Nawojki""",15 maja 2023
117,WRSS WZiKS,180.0,"""MOCAK zwiedź z nami muzeum """,23 maja 2023
119,WRSS WP,450.0,"""Teatr mój widzę... Sen nocy letniej""",23 maja 2023
120,AKT Rozdroże,2500.0,"""Rajd Posesyjny Letni 2023 Pilsko w Beskidzie Żywieckim""",23 maja 2023
121,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,9225.0,""" Zakup statuetek na Laudacje Studenckie 2023""",23 maja 2023
122,"Radzie Mieszkańców DS ""Żaczek""",6000.0,"""Żaczek"" dotację ze środków przeznaczonych przez uczelnię na sprawy studenckie w wysokości 6 000,00 zł (słownie sześć tysięcy złotych 00 100) na realizację projektu ""Żaczkonalia""",23 maja 2023
123,Zespołowi ds. Przeciwdziałania Przemocy i Dyskryminacji SSUJ,852.39,"""Wydruk materiałów promocyjnych""",29 maja 2023
124,WRSS WCh,385.0,"""Wyjście do Kina pod Baranami w Krakowie na seans ""Osiem gór""",29 maja 2023
125,WRSS WCh,650.0,"""I Ty możesz zdobyć Nobla gra kampusowa """,29 maja 2023
127,AKT Rozdroże,5900.0,""" I Wakacyjny Rajd AKT Rozdroże ""Bieszczady 2023""",6 czerwca 2023
128,WRSS WZiKS,3334.5,"""Kino plenerowe na Kampusie UJ""",6 czerwca 2023
129,WRSS WP,1960.52,"""Zakończenie kadencji WRSS Wydziału Polonistyki""",6 czerwca 2023
130,WRSS WBBiB,607.5,"""Krówki i długopisy UJ dla dawców krwi""",6 czerwca 2023
131,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,51392.5,"""Laudacje Studenckie""",6 czerwca 2023
132,AKT Rozdroże,3900.0,"""Jesienny Rajd 2023 Dolinami Tatr Wysokich""",12 czerwca 2023
133,Bractwu Czapki Studenckiej UJ,5199.0,"""Obóz Adapta cyjny Bractwa Czapki Studenckiej UJ 2023""",26 czerwca 2023
134,WRSS WP,2927.4,"""Zamówienie teczek i materiałów promocyjnych WRSS 2023""",26 czerwca 2023
135,WRSS Filologia,2646.0,"""WERNISAŻ WYSTAWOWY Klub sekta selekta""",26 czerwca 2023
136,Zespołowi Informacji i Promocji Samorządu Studentów UJ,38000.0,"""Bluzy Samorządowe 2023""",27 czerwca 2023
1,WRSS Filologia,1000.0,"""Posiadówka z planszówkami""",8 stycznia 2024
2,WRSS WSMiP,2000.0,"""Black White Party Międzywydziałowa Integracja WSMiP WPiA""",8 stycznia 2024
3,WRSS WH,7828.0,"""Bal Instytutu Historii Sztuki UJ""",8 stycznia 2024
4,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,2060.0,"""Impreza na zakończenie Studenckich Konwersacji Językowych (Student Language Con ersations) Multilingual Party""",8 stycznia 2024
5,Uczelnianej Komisji ds. Projektów i Współprac Samorządu Studentów Uniwersytetu Jagiellońskiego,6300.0,"""Studenckie Łyżwy""",8 stycznia 2024
6,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,3896.0,"""Sesyjny Wellness""",8 stycznia 2024
7,Zespołowi Informacji i Promocji Samorządu Studentów UJ,38104.4,"""Kalendarze akademickie 2024""",8 stycznia 2024
8,WRSS WP,1300.0,"""Kolędowanie w Gołębniku""",15 stycznia 2024
9,Stowarzyszeniu TęczUJ,1164.2,"""Materiały promocyjne dla organizacji TęczUJ""",15 stycznia 2024
10,WRSS Filologia,692.4,"""Filologiczny wieczorek filmowy projekcja filmu Dri e my car""",15 stycznia 2024
11,WRSS WB,1033.2,"""Biologia pod lupą wypełniamy ankiety ol.2""",22 stycznia 2024
12,WRSS FAIS,3182.0,"""Akcja Ankietowa Oceny Zajęć Dydaktycznych WFAIS""",22 stycznia 2024
13,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,11910.0,"""MISHowcy jadą na narty """,22 stycznia 2024
14,WRSS WPiA,237.99,"""Router dla Samorządu WPiA UJ""",22 stycznia 2024
